mLL ptLL dPhi_LL dPhiLLmet MET mt goodjet_n goodbjet_n Lepton1_Pt Lepton1_Eta Lepton1_E Lepton1_Phi Lepton1_charge Lepton1_type Lepton2_Pt Lepton2_Eta Lepton2_E Lepton2_Phi Lepton2_charge Lepton2_type weight
53.0833 71.8978 0.524627 2.34402 26.0968 79.8348 0 0 47.6203 -1.11276 80.2733 1.42647 -1 13 26.61 -2.41654 150.296 0.901847 1 11 0
33.5989 62.8446 0.836231 2.27908 61.1772 112.656 1 0 39.5081 1.1223 67.1131 1.46489 -1 13 29.1051 1.68261 80.9913 2.30112 1 11 0.969547
38.4307 82.2275 0.906329 2.53725 44.5799 115.604 0 0 57.5224 -1.60111 148.414 -2.31467 -1 11 33.1638 -1.6875 92.7088 3.06219 1 13 0.714836
53.0433 132.251 1.10839 1.70241 74.8196 149.623 1 0 123.526 0.40784 133.942 -2.27795 -1 11 17.4782 0.846316 24.1205 -1.16956 1 13 1.29377
45.9486 102.831 0.634636 2.08389 88.6614 164.879 1 0 83.1057 -1.50665 196.681 1.55626 -1 13 23.3335 -2.32028 119.897 0.921629 1 11 0.858219
54.2399 119.039 0.857772 2.71875 135.36 248.222 1 0 107.394 2.06022 428.243 -0.175446 1 11 16.7655 1.12415 28.5228 -1.03322 -1 13 0.676
16.8635 59.4183 0.0120422 2.65816 69.7778 125.036 0 0 42.1072 0.990615 64.5133 -1.2381 1 11 17.312 0.375919 18.55 -1.25014 -1 13 1.13745
48.7792 89.235 0.732469 2.82608 64.0509 149.325 1 0 73.9616 -1.02564 116.395 -3.09089 -1 11 19.2823 -2.05456 76.4697 2.45982 1 13 0.667863
17.3454 48.1842 0.532554 2.41845 29.3891 70.3956 1 0 28.6482 -0.880738 40.4964 -3.01722 -1 11 21.2555 -0.418959 23.1487 -2.48466 1 13 1.10299
12.5551 55.4661 0.435219 2.45791 88.4213 131.958 1 0 33.6565 0.877244 47.459 -1.08714 -1 13 23.1014 0.749776 29.9047 -0.65192 1 11 0.17623
41.2548 51.5359 1.17392 2.33229 56.8402 99.5042 1 0 37.1606 0.0442395 37.1971 1.03546 -1 13 24.1244 0.842369 33.2018 2.20937 1 11 0.63636
21.7965 47.8861 0.774045 2.35656 69.7656 106.808 1 0 31.0978 2.16516 137.308 0.520873 -1 13 20.4298 1.74639 60.3527 -0.253172 1 11 1.1561
42.6428 39.4296 1.73843 2.67775 69.3639 101.794 1 0 38.899 2.1409 167.744 -3.05637 1 13 15.6383 1.35187 32.2415 -1.31794 -1 11 1.5498
28.6532 93.3969 0.160592 2.99102 52.1384 139.169 0 0 48.7627 -0.938983 71.8861 -0.917281 -1 11 44.9356 -1.52143 107.782 -1.07787 1 13 1.12648
26.0698 61.4209 0.758653 2.42128 45.3707 98.8049 0 0 44.3473 0.165151 44.9535 0.981114 -1 11 21.1226 0.582859 24.8134 0.222461 1 13 0.721047
24.4925 48.045 0.536618 2.84484 105.07 140.539 1 0 27.5228 -0.868711 38.5779 2.00027 -1 13 22.2841 -1.68102 61.9186 1.46365 1 11 0.168142
34.4727 54.9964 0.932347 2.47305 116.21 151.04 1 0 37.9377 1.68465 105.772 -0.491912 1 11 23.1786 0.963315 34.7912 -1.42426 -1 13 1.13676
41.3107 70.0519 0.96174 2.57264 53.225 117.215 1 0 47.7702 -0.340367 50.5641 2.66309 1 11 30.7413 -0.886958 43.6473 1.70135 -1 13 0.336439
33.5088 68.4573 0.251619 2.11934 27.093 75.1245 1 0 41.1578 -1.94682 147.12 2.74526 1 11 27.8243 -1.02226 43.6738 2.49364 -1 13 1.2116
42.5106 59.5259 0.0255263 2.20321 42.4433 89.6645 0 0 40.1654 -1.14987 69.7768 -2.02151 1 11 19.3647 0.255604 20.001 -1.99598 -1 13 1.06183
39.0693 41.9378 1.42157 2.14488 36.4516 68.6861 1 0 32.2816 -0.133955 32.5717 -3.03935 1 11 22.3982 -0.762602 29.2332 -1.61778 -1 13 0.00128081
23.7242 145.628 0.356243 2.69373 84.9808 216.936 0 0 116.592 -2.12321 494.207 2.08808 1 11 30.5641 -1.94357 108.912 2.44433 -1 13 0.534845
43.366 59.8057 1.31548 1.62315 80.8034 100.85 1 0 50.9175 0.0641994 51.0225 2.31063 -1 11 21.0451 0.568812 24.5426 -2.65707 1 13 1.62893
