mLL ptLL dPhi_LL dPhiLLmet MET mt goodjet_n goodbjet_n Lepton1_Pt Lepton1_Eta Lepton1_E Lepton1_Phi Lepton1_charge Lepton1_type Lepton2_Pt Lepton2_Eta Lepton2_E Lepton2_Phi Lepton2_charge Lepton2_type weight
20.1006 51.0865 0.575136 1.78908 78.1943 98.5876 0 0 33.466 1.92432 117.071 -0.444546 1 11 19.6512 2.45882 115.712 -1.01968 -1 13 1.1989
42.6126 38.2768 1.66763 1.8491 42.7337 64.5768 0 0 30.1429 -1.925 105.516 -0.783027 -1 13 26.6845 -2.17755 119.253 0.884607 1 11 0
14.0185 44.9625 0.406943 2.97897 52.3398 96.7016 1 0 27.4379 -0.0286328 27.4492 0.662288 1 11 18.434 -0.498798 20.7754 1.06923 -1 13 0.818133
48.6227 51.6508 0.76325 2.93483 41.0732 91.6269 0 0 39.2974 -0.763516 51.3191 3.02465 1 11 15.5341 -2.39721 86.086 -2.49529 -1 13 0.685878
